id|cet|struct
1062|去金|72c6x1
1063|魚金|74c6x1
1064|許金|82c6x1
1065|居吟|71c6x1
1066|於金|81c6x1
1067|所今|54c6x1
1068|鋤針|53c6x1
1069|側吟|51c6x1
1070|楚簪|52c6x1
1071|充針|62c5x1
1072|徒含|23c1z1
1073|倉含|42c1z1
1074|那含|24c1z1
1075|烏含|81c1z1
1076|胡男|83c1z1
1077|盧含|25c1z1
1078|昨含|43c1z1
1079|作含|41c1z1
1080|他含|22c1z1
1081|丁含|21c1z1
1082|口含|72c1z1
1083|火含|82c1z1
1084|蘇含|44c1z1
1085|古南|71c1z1
1086|五含|74c1z1
1087|徒甘|23c1y1
1088|古三|71c1y1
1089|都甘|21c1y1
1090|蘇甘|44c1y1
1091|魯甘|25c1y1
1092|苦甘|72c1y1
1093|他酣|22c1y1
1094|昨甘|43c1y1
1095|胡甘|83c1y1
1096|武酣|14c1y1
1097|昨三|43c1y1
1098|呼談|82c1y1
1099|余廉|85c5z1
1100|力鹽|25c5z1
1101|府廉|11c6z1
1102|息廉|44c5z1
1103|七廉|42c5z1
1104|職廉|61c5z1
1105|視占|63c5z1
1106|失廉|64c5z1
1107|處占|62c5z1
1108|汝鹽|66c5z1
1109|女廉|34c6z1
1110|于廉|84c6z1
1111|張廉|31c6z1
1112|丑廉|32c6z1
1113|央炎|81c6z1
1114|丘廉|72c6z1
1115|語廉|74c6z1
1116|子廉|41c5z1
1117|昨鹽|43c5z1
1118|巨淹|73c6z1
1119|一鹽|81c5z1
1120|徐鹽|45c5z1
1121|史炎|54c6z1
1122|直炎|33c6z1
1123|巨鹽|73c5z1
1124|他兼|22c7z1
1125|丁兼|21c7z1
1126|徒兼|23c7z1
1127|勒兼|25c7z1
1128|苦兼|72c7z1
1129|古甜|71c7z1
1130|戸兼|83c7z1
1131|奴兼|24c7z1
1132|許兼|82c7z1
1133|胡讒|83c2z1
1134|古咸|71c2z1
1135|所咸|54c2z1
1136|乙咸|81c2z1
1137|五咸|74c2z1
1138|許咸|82c2z1
1139|竹咸|31c2z1
